variable,speaker,time,word,realization
thr-flapping,KT002,143.37,through,
thr-flapping,KT002,1631.66,three,
thr-flapping,KT002,1697.02,three,
thr-flapping,KT003,67.19,threw,
thr-flapping,KT003,640.75,thrilling,
thr-flapping,KT003,851.62,bathrobe,
thr-flapping,KT003,854.84,bathrobe,
thr-flapping,KT003,983.31,through,
thr-flapping,KT004,573.44,through,
thr-flapping,KT004,888.27,through,
thr-flapping,KT004,927.16,through,
thr-flapping,KT004,942.47,through,
thr-flapping,KT004,951.94,through,
thr-flapping,KT004,1040.86,through,
thr-flapping,KT004,1167.82,through,
thr-flapping,KT004,1309.79,through,
thr-flapping,KT005,364.84,through,
thr-flapping,KT005,674.02,throw,
thr-flapping,KT005,684.8,throw,
thr-flapping,KT005,736.95,thrash,
thr-flapping,KT005,739.8,thrashers,
thr-flapping,KT005,757.4,thrashers,
thr-flapping,KT005,771.15,through,
thr-flapping,KT005,771.49,thrashing,
thr-flapping,KT005,1251.49,through,
thr-flapping,KT005,1315.44,through,
thr-flapping,KT005,1465.81,thrilled,
thr-flapping,KT005,1679.98,three,
thr-flapping,KT005,1778.72,through,
thr-flapping,KT005,2009.97,bathroom,
thr-flapping,KT005,2126.1,through,
thr-flapping,KT005,2334.66,through,
thr-flapping,KT005,2775.75,three,
thr-flapping,KT005,2805.9,three,
thr-flapping,KT005,2849.25,throw,
thr-flapping,KT006,224.17,through,
thr-flapping,KT006,290.9,through,
thr-flapping,KT006,291.85,through,
thr-flapping,KT006,455.42,through,
thr-flapping,KT006,715.06,through,
thr-flapping,KT006,1175.38,through,
thr-flapping,KT006,1520.47,three,
thr-flapping,KT006,1563.29,throughout,
thr-flapping,KT006,1666.57,through,
thr-flapping,KT006,1668.78,through,
thr-flapping,KT006,1677.98,through,
thr-flapping,KT006,1720.58,through,
thr-flapping,KT006,1781.34,through,
thr-flapping,KT006,2118.06,through,
thr-flapping,KT006,2219.73,through,
